Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5
Helm of Saint-14,106575079,"""6917529111966114835""",,Exotic,Helmet,,Titan,961,Void Energy Capacity,8,Titan(964),false,false,1,2,,N/A,N/A,2,11,21,6,12,6,58,2,11,11,6,12,6,48,,,Recovery Mod*,Scout Rifle Targeting*,Starless Night*,Imperial Dress*,Upgrade Armor*,
Mask of the Quiet One,3883866764,"""6917529114412555183""",,Exotic,Helmet,,Titan,950,Void Energy Capacity,5,Titan(964),false,false,1,1,,N/A,N/A,12,4,13,16,6,6,57,12,4,13,16,6,6,57,,,Dreaded Visage*,Upgrade Armor*,,,,
Helm of Righteousness,519078295,"""6917529113899580806""",,Legendary,Helmet,garden,Titan,948,Arc Energy Capacity,1,Titan(964),true,false,3,8,,N/A,N/A,6,21,2,7,8,13,57,6,21,2,7,8,13,57,undying,Resilience,Upgrade Armor*,,,,,
Prodigal Helm,3691737472,"""6917529114537307823""",,Legendary,Helmet,,Titan,948,Void Energy Capacity,4,Titan(964),true,false,2,4,,N/A,N/A,8,7,20,12,17,2,66,8,7,10,12,17,2,56,,Intellect,Recovery Mod*,Upgrade Armor*,,,,
Righteous Helm,238618945,"""6917529145403385416""",,Legendary,Helmet,seasonpass,Titan,959,Void Energy Capacity,6,Titan(964),false,false,3,9,,N/A,N/A,20,16,6,18,2,12,74,10,16,6,18,2,12,64,dawn,,Mobility Mod*,Upgrade Armor*,,,,
Reverie Dawn Helm,99549082,"""6917529133746166950""",,Legendary,Helmet,,Titan,950,Arc Energy Capacity,4,Titan(964),false,false,2,4,,N/A,N/A,17,7,2,2,22,2,52,17,7,2,2,22,2,52,outlaw,,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,,
One-Eyed Mask,2578771006,"""6917529145810640073""",,Exotic,Helmet,,Titan,962,Solar Energy Capacity,2,Titan(964),false,false,2,4,,N/A,N/A,10,14,8,8,2,19,61,10,14,8,8,2,19,61,,,Vengeance*,Upgrade Armor*,,,,
Iron Will Gauntlets,2320100699,"""6917529116559022801""",,Legendary,Gauntlets,ironbanner,Titan,961,Arc Energy Capacity,7,Titan(964),false,false,3,8,,N/A,N/A,7,2,28,6,13,9,65,7,2,18,6,13,9,55,undying,,Recovery Mod*,Shotgun Loader*,Vitrified Chronology*,Upgrade Armor*,Virtuous Gauntlets*,
Iron Truage Gauntlets,2555322239,"""6917529145950366957""",,Legendary,Gauntlets,,Titan,962,Arc Energy Capacity,1,Titan(964),false,false,3,9,,N/A,N/A,10,12,6,12,9,12,61,10,12,6,12,9,12,61,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Reverie Dawn Gauntlets,2336820707,"""6917529133677113944""",,Legendary,Gauntlets,,Titan,950,Solar Energy Capacity,2,Titan(964),true,false,2,4,,N/A,N/A,2,2,22,10,7,7,50,2,2,22,10,7,7,50,outlaw,,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,,
Gauntlets of Exaltation,3887559710,"""6917529110560032119""",,Legendary,Gauntlets,garden,Titan,947,Solar Energy Capacity,6,Titan(964),true,false,3,8,,N/A,N/A,22,7,11,12,8,8,68,12,7,11,12,8,8,58,undying,Unique,Mobility Mod*,Enhanced Relay Defender*,Upgrade Armor*,,,
ACD/0 Feedback Fence,2563444729,"""6917529103587837388""",,Exotic,Gauntlets,,Titan,914,Arc Energy Capacity,1,Titan(964),false,false,1,1,,N/A,N/A,2,12,10,6,6,12,48,2,12,10,6,6,12,48,,,Fury Conductors*,Upgrade Armor*,,,,
Dreambane Gauntlets,925079356,"""6917529101849935137""",keep,Legendary,Gauntlets,moon,Titan,860,Arc Energy Capacity,1,Titan(964),true,false,3,8,,N/A,N/A,6,14,7,2,6,17,52,6,14,7,2,6,17,52,undying,Unique,Dreambane Mod*,Upgrade Armor*,,,,
Righteous Gauntlets,1076538456,"""6917529145409123397""",,Legendary,Gauntlets,seasonpass,Titan,961,Void Energy Capacity,6,Titan(964),false,false,3,9,,N/A,N/A,6,28,9,14,6,11,74,6,18,9,14,6,11,64,dawn,,Resilience Mod*,Upgrade Armor*,,,,
Righteous Plate,1560040304,"""6917529145403386146""",,Legendary,Chest Armor,seasonpass,Titan,961,Void Energy Capacity,7,Titan(964),false,false,3,9,,N/A,N/A,6,22,16,16,9,7,76,6,22,6,16,9,7,66,dawn,,Recovery Mod*,Enhanced Unflinching Scout Rifle Aim*,Calus's Selected*,Upgrade Armor*,Plate of Optimacy*,
Iron Truage Plate,1313089081,"""6917529145971792984""",,Legendary,Chest Armor,,Titan,962,Void Energy Capacity,1,Titan(964),false,false,3,9,,N/A,N/A,7,7,15,13,7,6,55,7,7,15,13,7,6,55,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Reverie Dawn Plate,934704429,"""6917529133746169593""",,Legendary,Chest Armor,,Titan,950,Void Energy Capacity,4,Titan(964),false,false,2,4,,N/A,N/A,13,2,11,6,17,2,51,13,2,11,6,17,2,51,outlaw,,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,,
Heart of Inmost Light,1341951177,"""6917529102706806808""",,Exotic,Chest Armor,,Titan,888,Arc Energy Capacity,3,Titan(964),false,false,2,4,,N/A,N/A,12,17,6,6,6,10,57,12,7,6,6,6,10,47,,,Resilience Mod*,Overflowing Light*,Upgrade Armor*,,,
Prodigal Cuirass,3988753671,"""6917529114850968189""",,Legendary,Chest Armor,,Titan,949,Arc Energy Capacity,6,Titan(964),true,false,2,4,,N/A,N/A,2,6,28,2,7,19,64,2,6,18,2,7,19,54,,Recovery + strength,Recovery Mod*,Unflinching Pulse Rifle Aim*,New Age Black Armory*,Upgrade Armor*,Plate of Optimacy*,
Severance Enclosure,2326396534,"""6917529145793498671""",,Exotic,Chest Armor,,Titan,962,Void Energy Capacity,1,Titan(964),false,false,3,9,,N/A,N/A,12,2,12,2,16,6,50,12,2,12,2,16,6,50,,,Spheromatik Trigger*,Upgrade Armor*,,,,
Tangled Web Plate,4097652774,"""6917529135495130245""",,Legendary,Chest Armor,,Titan,950,Void Energy Capacity,5,Titan(964),false,false,2,4,,N/A,N/A,8,12,6,12,8,10,56,8,12,6,12,8,10,56,,,Upgrade Armor*,,,,,
Iron Will Greaves,770140877,"""6917529116564588930""",,Legendary,Leg Armor,ironbanner,Titan,951,Solar Energy Capacity,4,Titan(964),true,false,3,8,,N/A,N/A,14,8,6,2,19,9,58,14,8,6,2,19,9,58,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Tangled Web Greaves,2151378428,"""6917529113825654263""",,Legendary,Leg Armor,,Titan,948,Void Energy Capacity,1,Titan(964),true,false,2,4,,N/A,N/A,10,7,7,6,18,2,50,10,7,7,6,18,2,50,,Intellect,Upgrade Armor*,,,,,
Greaves of Ascendancy,11974904,"""6917529110543069067""",,Legendary,Leg Armor,garden,Titan,940,Arc Energy Capacity,2,Titan(964),true,false,3,8,,N/A,N/A,2,19,7,6,2,20,56,2,19,7,6,2,20,56,undying,Strength + resilience,Upgrade Armor*,,,,,
Peacekeepers,3539357319,"""6917529114442129391""",,Exotic,Leg Armor,,Titan,950,Arc Energy Capacity,3,Titan(964),false,false,1,1,,N/A,N/A,8,19,2,8,7,12,56,8,19,2,8,7,12,56,,,Mecha Holster*,Upgrade Armor*,,,,
Dreambane Greaves,310888006,"""6917529101721230614""",,Legendary,Leg Armor,moon,Titan,957,Arc Energy Capacity,9,Titan(964),true,false,3,8,,N/A,N/A,11,13,17,2,2,23,68,6,13,7,2,2,23,53,undying,Unique,Recovery Mod*,Shotgun Scavenger*,Traction*,Vitrified Chronology*,Upgrade Armor*,Virtuous Greaves*
Iron Truage Greaves,1476572353,"""6917529145960913662""",,Legendary,Leg Armor,,Titan,962,Arc Energy Capacity,1,Titan(964),false,false,3,9,,N/A,N/A,2,18,10,6,13,10,59,2,18,10,6,13,10,59,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Righteous Greaves,3406670226,"""6917529145403390280""",,Legendary,Leg Armor,seasonpass,Titan,959,Void Energy Capacity,6,Titan(964),false,false,3,9,,N/A,N/A,6,30,7,10,12,11,76,6,20,7,10,12,11,66,dawn,,Resilience Mod*,Upgrade Armor*,,,,
Antaeus Wards,2423243921,"""6917529146717401637""",,Exotic,Leg Armor,,Titan,962,Void Energy Capacity,3,Titan(964),false,false,2,4,,N/A,N/A,3,2,25,21,2,6,59,3,2,25,21,2,6,59,,,Reflective Vents*,Upgrade Armor*,,,,
Bulletsmith's Ire Mark,977326564,"""6917529124573568129""",,Legendary,Titan Mark,,Titan,948,Solar Energy Capacity,3,Titan(964),false,false,2,5,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forge,,Midnight Smith*,Upgrade Armor*,,,,
Iron Will Mark,1234228360,"""6917529116564584421""",,Legendary,Titan Mark,ironbanner,Titan,951,Solar Energy Capacity,2,Titan(964),false,false,3,8,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Wing Discipline,2466453881,"""6917529145781796548""",junk,Legendary,Titan Mark,,Titan,962,Solar Energy Capacity,2,Titan(964),true,false,3,9,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dawn,,Crucible Legacy*,Upgrade Armor*,,,,
Mimetic Savior Bond,1425077417,"""6917529131802827907""",,Legendary,Titan Mark,,Titan,950,Solar Energy Capacity,6,Titan(964),false,false,2,4,,N/A,N/A,0,0,10,0,0,0,10,0,0,10,0,0,0,10,,,Recovery Mod*,Upgrade Armor*,,,,
Dreambane Mark,3312368889,"""6917529101889639236""",,Legendary,Titan Mark,moon,Titan,860,Solar Energy Capacity,2,Titan(964),true,false,3,8,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undying,,Dreambane Mod*,Upgrade Armor*,,,,
Prodigal Mark,875215126,"""6917529111997993739""",,Legendary,Titan Mark,,Titan,961,Arc Energy Capacity,9,Titan(964),true,false,2,4,,N/A,N/A,0,10,0,0,0,0,10,0,10,0,0,0,0,10,,,Resilience Mod*,Pump Action*,Pump Action*,Vitrified Chronology*,Upgrade Armor*,Star-Crossed Mark*
Vigil of Heroes,986111044,"""6917529146060366185""",junk,Legendary,Titan Mark,,Titan,962,Arc Energy Capacity,3,Titan(964),false,false,3,9,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dawn,,Vanguard Veteran*,Upgrade Armor*,,,,
Hardcase Helm,1070180272,"""6917529147604201336""",,Rare,Helmet,,Titan,960,Arc Energy Capacity,5,Titan(964),false,false,2,4,,N/A,N/A,8,16,2,6,6,12,50,8,16,2,6,6,12,50,,,Upgrade Armor*,,,,,
Baseline Mark,732520437,"""6917529147604196286""",,Rare,Titan Mark,,Titan,960,Arc Energy Capacity,5,Titan(964),false,false,2,4,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,
RPC Valiant,2466525328,"""6917529147604199982""",,Rare,Gauntlets,,Titan,960,Void Energy Capacity,5,Titan(964),false,false,2,4,,N/A,N/A,6,6,11,11,6,6,46,6,6,11,11,6,6,46,,,Upgrade Armor*,,,,,
Helm of Righteousness,519078295,"""6917529110626544273""",,Legendary,Helmet,garden,Titan,949,Arc Energy Capacity,9,Titan(964),true,true,3,8,,N/A,N/A,7,9,21,20,2,7,66,7,9,11,20,2,7,56,undying,Unique + discipline,Recovery Mod*,Heavy Ammo Finder*,Upgrade Armor*,Star-Crossed Helm*,,
Doom Fang Pauldron,241462141,"""6917529131796079278""",,Exotic,Gauntlets,,Titan,962,Void Energy Capacity,9,Titan(964),true,true,1,1,,N/A,N/A,10,7,17,6,6,12,58,10,7,7,6,6,12,48,,,Recovery Mod*,Enhanced Grenade Launcher Loader*,Horns of Doom*,Upgrade Armor*,Lordly Homage*,
Wing Discipline,1722623780,"""6917529145966122971""",,Legendary,Chest Armor,,Titan,962,Solar Energy Capacity,8,Titan(964),true,true,3,9,,N/A,N/A,17,2,17,12,11,2,61,17,2,7,12,11,2,51,dawn,,Recovery Mod*,Fusion Rifle Reserves*,Fusion Rifle Reserves*,Upgrade Armor*,Star-Crossed Heart*,
Bulletsmith's Ire Greaves,2564183153,"""6917529121903787293""",,Legendary,Leg Armor,,Titan,950,Solar Energy Capacity,9,Titan(964),true,true,2,5,,N/A,N/A,7,6,27,6,2,20,68,7,6,17,6,2,20,58,forge,,Recovery Mod*,Power Ammo Scavenger*,Upgrade Armor*,Legs of Optimacy*,,
Wing Discipline,2466453881,"""6917529145799323656""",,Legendary,Titan Mark,,Titan,960,Void Energy Capacity,7,Titan(964),true,true,3,9,,N/A,N/A,0,0,0,0,10,0,10,0,0,0,0,10,0,10,dawn,,Intellect Mod*,Perpetuation*,Upgrade Armor*,Star-Crossed Mark*,,
War Mantis,803939997,"""6917529134857890193""",,Rare,Gauntlets,,Hunter,950,Solar Energy Capacity,5,Vault,true,false,2,4,,N/A,N/A,12,4,32,0,0,0,48,12,4,32,0,0,0,48,,,Upgrade Armor*,,,,,
Cloak of Temptation,3549177695,"""6917529112642397251""",,Legendary,Hunter Cloak,garden,Hunter,951,Void Energy Capacity,7,Vault,true,false,3,8,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undying,Unique void,Paragon Mod*,Perpetuation*,Upgrade Armor*,,,
Reverie Dawn Casque,2889063206,"""6917529130208689385""",,Legendary,Helmet,,Hunter,950,Arc Energy Capacity,4,Vault,true,false,2,4,,N/A,N/A,8,14,6,23,7,7,65,8,14,6,13,7,7,55,outlaw,,Discipline Mod*,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,
Iron Truage Vestments,1604601714,"""6917529145678955349""",junk,Legendary,Chest Armor,,Warlock,963,Arc Energy Capacity,2,Vault,false,false,3,9,,N/A,N/A,7,9,11,9,8,10,54,7,9,11,9,8,10,54,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Iron Truage Casque,3292445816,"""6917529145145327185""",,Legendary,Helmet,,Hunter,961,Void Energy Capacity,2,Vault,false,false,3,9,,N/A,N/A,6,2,21,15,9,7,60,6,2,21,15,9,7,60,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Shards of Galanor,691578979,"""6917529129880142827""",,Exotic,Gauntlets,,Hunter,954,Void Energy Capacity,4,Vault,true,false,2,4,,N/A,N/A,15,7,16,7,13,8,66,15,7,6,7,13,8,56,,,Recovery Mod*,Sharp Edges*,Upgrade Armor*,,,
Prodigal Bond,3198691833,"""6917529147373458006""",junk,Legendary,Warlock Bond,,Warlock,963,Solar Energy Capacity,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,
Tangled Web Robes,2674524165,"""6917529115845965426""",,Legendary,Chest Armor,,Warlock,950,Void Energy Capacity,2,Vault,true,false,2,4,,N/A,N/A,12,13,6,2,12,12,57,12,13,6,2,12,12,57,,Balanced,Upgrade Armor*,,,,,
Solstice Hood (Majestic),2546370410,"""6917529101529557673""",,Legendary,Helmet,,Warlock,750,Solar Energy Capacity,5,Vault,true,false,2,7,,N/A,N/A,10,2,10,6,12,6,46,10,2,10,6,12,6,46,,,Upgrade Armor*,Remove Armor Glow*,,,,
Thorium Holt Robes,3717812073,"""6917529127507034601""",,Legendary,Chest Armor,,Warlock,950,Arc Energy Capacity,1,Vault,true,false,2,4,,N/A,N/A,22,2,2,2,18,8,54,22,2,2,2,18,8,54,,,Upgrade Armor*,,,,,
Solstice Robes (Majestic),450844637,"""6917529101512514006""",,Legendary,Chest Armor,,Warlock,750,Solar Energy Capacity,5,Vault,true,false,2,7,,N/A,N/A,10,2,10,12,12,2,48,10,2,10,12,12,2,48,,,Upgrade Armor*,Remove Armor Glow*,,,,
Xenos Vale IV,417061387,"""6917529109025113108""",,Legendary,Helmet,,Warlock,950,Void Energy Capacity,4,Vault,true,false,1,1,,N/A,N/A,24,2,2,13,13,2,56,24,2,2,13,13,2,56,undying,Mobility,Enhanced Relay Defender*,Upgrade Armor*,Symmetrists' Mask*,,,
Crown of Tempests,3381022969,"""6917529108323066404""",,Exotic,Helmet,,Warlock,918,Arc Energy Capacity,1,Vault,false,false,1,1,,N/A,N/A,13,6,7,6,12,6,50,13,6,7,6,12,6,50,,,Conduction Tines*,Upgrade Armor*,Crown Joules*,,,
War Mantis,803939997,"""6917529134106542026""",,Rare,Gauntlets,,Hunter,950,Void Energy Capacity,5,Vault,true,false,2,4,,N/A,N/A,25,14,14,0,0,0,53,25,14,14,0,0,0,53,,,Upgrade Armor*,,,,,
War Mantis,803939997,"""6917529130327048492""",,Rare,Gauntlets,,Hunter,950,Solar Energy Capacity,5,Vault,true,false,2,4,,N/A,N/A,4,35,13,0,0,0,52,4,35,13,0,0,0,52,,,Upgrade Armor*,,,,,
Gunsmith's Devotion Robes,4092373800,"""6917529121891557137""",,Legendary,Chest Armor,,Warlock,949,Arc Energy Capacity,2,Vault,false,false,2,5,,N/A,N/A,21,6,2,2,12,12,55,21,6,2,2,12,12,55,forge,,Midnight Smith*,Upgrade Armor*,,,,
Solstice Bond (Majestic),2337290000,"""6917529101529558008""",,Legendary,Warlock Bond,,Warlock,750,Solar Energy Capacity,5,Vault,true,false,2,7,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,Remove Armor Glow*,,,,
Ancient Apocalypse Gauntlets,2677967607,"""6917529142383189780""",,Legendary,Gauntlets,,Titan,957,Solar Energy Capacity,4,Vault,false,false,3,9,,N/A,N/A,6,8,15,12,6,7,54,6,8,15,12,6,7,54,dawn,,Gambit Leather*,Upgrade Armor*,,,,
Ancient Apocalypse Strides,2451538755,"""6917529142002482158""",,Legendary,Leg Armor,,Hunter,961,Arc Energy Capacity,1,Vault,false,false,3,9,,N/A,N/A,13,2,13,2,17,9,56,13,2,13,2,17,9,56,dawn,,Gambit Leather*,Upgrade Armor*,,,,
Solstice Gloves (Majestic),2127474099,"""6917529101518368268""",,Legendary,Gauntlets,,Warlock,750,Solar Energy Capacity,5,Vault,true,false,2,7,,N/A,N/A,10,6,6,12,2,12,48,10,6,6,12,2,12,48,,,Upgrade Armor*,Remove Armor Glow*,,,,
Foetracer,896224899,"""6917529116994869777""",,Exotic,Helmet,,Hunter,950,Void Energy Capacity,10,Vault,true,false,1,1,,N/A,N/A,16,4,25,15,12,8,80,14,2,13,13,10,6,58,,,Recovery Mod*,Precision Weapon Targeting*,Scout Rifle Ammo Finder*,Relentless Tracker*,Upgrade Armor*,
Graviton Forfeit,2773056939,"""6917529145139463386""",,Exotic,Helmet,,Hunter,961,Arc Energy Capacity,3,Vault,true,false,1,2,,N/A,N/A,7,9,15,21,2,7,61,7,9,15,21,2,7,61,,,Vanishing Shadow*,Upgrade Armor*,,,,
Swordflight 4.1,1904811766,"""6917529126367438532""",,Legendary,Chest Armor,,Hunter,951,Solar Energy Capacity,2,Vault,true,false,1,1,,N/A,N/A,2,2,23,12,6,8,53,2,2,23,12,6,8,53,undying,,Upgrade Armor*,,,,,
Iron Will Mask,1098138990,"""6917529115993600340""",,Legendary,Helmet,ironbanner,Hunter,949,Void Energy Capacity,9,Vault,true,false,3,8,,N/A,N/A,7,14,20,8,9,11,69,7,14,10,8,9,11,59,undying,,Recovery Mod*,Scatter Projectile Targeting*,Gambit Celadon*,Upgrade Armor*,Frostveil Mask*,
Thorium Holt Boots,1148805553,"""6917529113385646557""",,Legendary,Leg Armor,,Warlock,950,Arc Energy Capacity,2,Vault,false,false,2,4,,N/A,N/A,2,16,12,6,6,13,55,2,16,12,6,6,13,55,,,Upgrade Armor*,,,,,
Prodigal Strides,3516789127,"""6917529142490194746""",junk,Legendary,Leg Armor,,Hunter,961,Arc Energy Capacity,3,Vault,false,false,2,4,,N/A,N/A,12,7,6,2,12,13,52,12,7,6,2,12,13,52,,,Upgrade Armor*,,,,,
Shards of Galanor,691578979,"""6917529111491915031""",,Exotic,Gauntlets,,Hunter,950,Solar Energy Capacity,3,Vault,true,false,2,4,,N/A,N/A,7,7,18,8,7,13,60,7,7,18,8,7,13,60,,,Sharp Edges*,Upgrade Armor*,,,,
Raiden Flux,2766109872,"""6917529114983105715""",,Exotic,Chest Armor,,Hunter,950,Arc Energy Capacity,2,Vault,false,false,1,1,,N/A,N/A,13,9,8,8,19,2,59,13,9,8,8,19,2,59,,,Synapse Junctions*,Upgrade Armor*,,,,
Substitutional Alloy Hood,2690973103,"""6917529113120593028""",,Legendary,Helmet,seasonpass,Warlock,950,Solar Energy Capacity,6,Vault,true,false,3,8,,N/A,N/A,7,2,26,6,8,13,62,7,2,16,6,8,13,52,undying,,Recovery Mod*,Fusion Rifle Targeting*,Echoes of Io*,Upgrade Armor*,Symmetrists' Mask*,
The Sixth Coyote,1474735277,"""6917529131551556468""",,Exotic,Chest Armor,,Hunter,956,Void Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,9,12,10,8,14,6,59,9,12,10,8,14,6,59,,,Double Dodge*,Upgrade Armor*,,,,
Knucklehead Radar,1321354572,"""6917529122285374281""",,Exotic,Helmet,,Hunter,950,Solar Energy Capacity,8,Vault,true,false,1,1,,N/A,N/A,18,13,7,7,20,2,67,8,13,7,7,20,2,57,,,Mobility Mod*,Precision Weapon Targeting*,Upgraded Sensor Pack*,Fright Night*,Upgrade Armor*,
Righteous Mask,382498903,"""6917529142448184875""",junk,Legendary,Helmet,seasonpass,Hunter,961,Void Energy Capacity,1,Vault,false,false,3,9,,N/A,N/A,6,10,6,16,6,2,46,6,10,6,16,6,2,46,dawn,,Upgrade Armor*,,,,,
Starfire Protocol,2082483156,"""6917529140003488403""",,Exotic,Chest Armor,,Warlock,939,Void Energy Capacity,7,Vault,true,false,1,1,,N/A,N/A,6,7,22,12,6,6,59,6,7,12,12,6,6,49,,,Recovery Mod*,Unflinching Hand Cannon Aim*,Fusion Harness*,Clouds at Sea*,Upgrade Armor*,
Dead End Cure 2.1,3527995388,"""6917529134804328214""",,Legendary,Helmet,,Hunter,750,Solar Energy Capacity,3,Vault,false,false,1,1,,N/A,N/A,6,8,11,2,23,2,52,6,8,11,2,23,2,52,,,Upgrade Armor*,,,,,
Iron Will Boots,1469050017,"""6917529116564584181""",,Legendary,Leg Armor,ironbanner,Hunter,950,Solar Energy Capacity,10,Vault,true,false,3,8,,N/A,N/A,14,12,17,20,12,4,79,7,10,15,18,10,2,62,undying,Discipline + recovery,Paragon Mod*,Traction*,Iron Mossbone*,Upgrade Armor*,Dragonfly Regalia Strides*,
Righteous Helm,238618944,"""6917529146077685284""",junk,Legendary,Helmet,,Titan,962,Void Energy Capacity,3,Vault,false,false,3,9,,N/A,N/A,8,12,7,12,9,6,54,8,12,7,12,9,6,54,dawn,,Upgrade Armor*,,,,,
Iron Will Hood,2205315921,"""6917529134577787751""",,Legendary,Helmet,ironbanner,Warlock,950,Void Energy Capacity,8,Vault,true,false,3,8,,N/A,N/A,7,16,17,20,7,2,69,7,6,17,20,7,2,59,undying,,Resilience Mod*,Precision Weapon Targeting*,Melchizedek Bramble*,Upgrade Armor*,Hood of Optimacy*,
Lucky Pants,193869522,"""6917529122285380805""",,Exotic,Leg Armor,,Hunter,948,Void Energy Capacity,7,Vault,true,false,1,1,,N/A,N/A,12,7,20,12,6,6,63,7,7,10,12,6,6,48,,,Recovery Mod*,Traction*,Illegally Modded Holster*,Upgrade Armor*,,
Reverie Dawn Strides,3711557785,"""6917529130225412052""",,Legendary,Leg Armor,,Hunter,950,Arc Energy Capacity,4,Vault,true,false,2,4,,N/A,N/A,7,12,6,22,6,6,59,7,12,6,12,6,6,49,outlaw,PvE Dreaming City:Discipline,Discipline Mod*,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,
Notorious Sentry Vest,2710420859,"""6917529142495926334""",,Legendary,Chest Armor,,Hunter,958,Arc Energy Capacity,2,Vault,false,false,2,6,,N/A,N/A,21,2,7,11,9,8,58,21,2,7,11,9,8,58,,,Sentry +3*,Upgrade Armor*,,,,
Red Moon Phantom Steps,1213841242,"""6917529123071270153""",,Legendary,Leg Armor,,Hunter,950,Void Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,6,2,19,12,6,7,52,6,2,19,12,6,7,52,,,Upgrade Armor*,,,,,
Mantle of Efrideet,2853073502,"""6917529145145322987""",,Legendary,Hunter Cloak,,Hunter,961,Solar Energy Capacity,1,Vault,false,false,3,9,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Cowl of Righteousness,557676195,"""6917529106157426576""",,Legendary,Helmet,garden,Hunter,950,Arc Energy Capacity,10,Vault,true,false,3,8,,N/A,N/A,4,8,30,8,11,15,76,2,6,18,6,9,13,54,undying,PvP,Recovery Mod*,Shotgun Ammo Finder*,Shotgun Ammo Finder*,Gambit Emerald*,Upgrade Armor*,
Chromatic Fire,4057299718,"""6917529108345941078""",,Exotic,Chest Armor,,Warlock,938,Arc Energy Capacity,7,Vault,true,false,2,4,,N/A,N/A,6,17,17,13,2,14,69,6,17,7,13,2,14,59,,,Recovery Mod*,Enhanced Unflinching Rifle Aim*,Crystalline Transistor*,Upgrade Armor*,,
Iron Will Vest,1058936857,"""6917529116559030765""",,Legendary,Chest Armor,ironbanner,Hunter,950,Void Energy Capacity,7,Vault,true,false,3,8,,N/A,N/A,18,11,2,2,13,24,70,18,11,2,2,13,14,60,undying,High total,Strength Mod*,Unflinching Sniper Aim*,Gambit Celadon*,Upgrade Armor*,,
Righteous Robes,3931361417,"""6917529141871112905""",,Legendary,Chest Armor,seasonpass,Warlock,957,Void Energy Capacity,2,Vault,false,false,3,9,,N/A,N/A,6,12,12,11,12,2,55,6,12,12,11,12,2,55,dawn,,Upgrade Armor*,,,,,
War Mantis,803939997,"""6917529118165575323""",,Rare,Gauntlets,,Hunter,948,Arc Energy Capacity,10,Vault,true,false,2,4,,N/A,N/A,33,11,25,2,2,2,75,31,9,13,2,2,2,59,,,Recovery Mod*,Upgrade Armor*,,,,
Prodigal Strides,3516789127,"""6917529112625018755""",,Legendary,Leg Armor,,Hunter,949,Solar Energy Capacity,3,Vault,true,false,2,4,,N/A,N/A,6,7,12,8,18,2,53,6,7,12,8,18,2,53,,Intellect + recovery?,Upgrade Armor*,,,,,
Swordflight 4.1,1801625827,"""6917529111163308607""",keep,Legendary,Helmet,,Hunter,950,Void Energy Capacity,2,Vault,true,false,1,1,,N/A,N/A,25,2,2,2,13,11,55,25,2,2,2,13,11,55,undying,Mobility,Upgrade Armor*,Mask of Optimacy*,,,,
Iron Will Gloves,863444264,"""6917529135214342524""",,Legendary,Gauntlets,ironbanner,Warlock,950,Void Energy Capacity,3,Vault,true,false,3,8,,N/A,N/A,17,2,11,12,7,11,60,17,2,11,12,7,11,60,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Swordflight 4.1,1801625827,"""6917529115073625977""",,Legendary,Helmet,,Hunter,949,Void Energy Capacity,4,Vault,true,false,1,1,,N/A,N/A,2,24,2,12,8,6,54,2,24,2,12,8,6,54,undying,Resilience,Upgrade Armor*,,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529115163506960""",,Exotic,Gauntlets,,Hunter,950,Solar Energy Capacity,1,Vault,false,false,1,3,,N/A,N/A,17,8,6,7,18,2,58,17,8,6,7,18,2,58,,,Nightmare Fuel*,Upgrade Armor*,,,,
